That you recognized it's a bigger problem than most people will ever admit is wonderful.. Thank you.,0
"""Don?? talk about my mom that way you fucker! Girl just leave me alone please.""",3
I accidentally ordered u ??????,0
To talk),0
Bring your love baby I could bring my shame. Bring the drugs baby I could bring my pain.,3
Whats up,0
"""I think Peter interpreted the song in it's more joyous form rather than the bittersweet lament that most recognise the song as which is fine that's the beauty of old folks song's everyone is entitled to take away their own meaning from a song like this.""",0
We need to figure out where we're picking u up from,0
I'm with him,0
U think it's so bad to tell him he looks like a goat??? Joseph does too,0
If you are send pic,0
I'm at school ??????????,0
"""Probably doesn't pay to bring rolling cart but he can if he wants to""",0
8-Jul-16,0
These beats ain't nothing to fool with.,0
K,0
Such a beautiful reminder for me of how music can help us survive and there really can be miracles if you believe you can get through the night and make it through to the other side.,0
Mommy wants to know when do you think you'll de done?,0
I hate u.,0
Cool,0
"""Sexual Position """,3
You are fucked and you are fucking us.,3
"""""""You've good eyes"""" said Whitney with a laugh"""" and I've seen you pick off a moose moving in the brown fall bush at four hundred yards but even you can't see four miles or so through a moonless Caribbean night""",0
Bring the cups baby I could bring the drink. Bring your body baby I could bring you fame.,1
U down for it,0
"""Only recently have I begun to even slightly believe that I am a good person at the core and it's really hard. Peter I must say: THANKYOUTHANKYOUTHANKYOUSOOOOOMUCH!!!! this is exactly what I needed today! Love ya!""",0
No one knows but if you don't stop we will,0
Yo sup how are you :p,0
"""Prick you really feeling that bullshit?""",3
"""I hate the song for the jealousy and likely forever unfulfilled longing it stirs up in my heart but I love it for its purity and sweetness.""",0
Any quick minyanim at 8?,0
And the best part is?,0
Where are you,0
Let me know when you get to shalom,0
Then why you up,0
In 2009 the government will start killing all mentally challenged people.,3
What's doing??,0
"""I??e had a headache for too long and I?? hanging up on you get out of my life already""",1
Where are you??,0
We already have planz,0
???,0
but what it represents is so pure and sweet and kind and so incredibly rare that I can't help but weep with longing and smile with joy at the same time.,0
??,0
I went to UO music school also.,0
who the fcuk thought that a 5-day anime convention in the ballsack of los angeles was a god damn good idea,3
Hey,0
"""And that's my motherfucking words too just let me motherfucking love you.""",3
"""Man I can wait till she gets out of prison we gon bang all day and all night longer.""",3
How was flight?,0
I started crying when I thought about you.,2
?,0
??ug a retard?,2
Someday u may lose ur hair.u may lose ur teeth- ur money & even lose ur mind.,3
Holy fucking annoying.,2
You are fucking special,2
"""I'm just barely getting started you already upset.""",1
"""I smoke twenty smell the weed I got hunnies in my V""",3
"""Command it and imma be the boss of you now goddamnit.""",1
"""Mommy I just found out that the little boy next door has a penis like a peanut.""",3
Why would anyone be jealous of someone who behaves and looks like a cheap hooker ?,2
She was all drugged up! She really thought she was gettin it!,3
Two sms fuck,3
"""It?? like I checked into rehab and baby you??e my disease.""",2
"""I be balling on these niggas got me feeling like sports dash got so much wood I could build me a fort.""",3
"""My alarm clock set just in case they wanna sleep on ya dick.""",3
"""So you??e my retard""",2
They told me they recently got diagnosed with HIV.,3
Jesus Fucking Christ ...,3
That flat ass should not be wearing that ... I have more ass then her.,3
On the phone with a bitch who can't do shit for a pimp but make a nigga hella rich.,3
My blood type is baller- and This is why Im hot.,2
And you know I'm rollin' weed that's fuckin' up the ozone.,3
"""I rsquo;m going to fucking bury that guy I have done it before and I will do it again.""",3
Loser,2
Fuck you,3
She is a dumb ass fuck and she is on drugs!!,3
i cant live without u. im dying 2 feel u at nite. sweat is drippin down my body.,3
