"""Long story...Anyway I'm grateful for your music""",0
You are fucked and you are fucking us.,3
I hate u.,0
I went to UO music school also.,0
11-Nov-16,0
Can we go to it,0
"""Speaking of Cersei did not seem entirely remorseful that her la thast son was dead ?'t surprise me. In her eyes she had already lost her son twice.""",0
I had a wet dream about you last night ?,3
Hola,0
Today is day of the disabled.,0
Not for the jaguar,0
Answer,0
"""Do you understand fuck?""",3
He wrestled himself out of his clothes and shouted with all his power. The lights of the yacht became faint and ever-vanishing fireflies; then they were blotted out entirely by the night.,0
It's 7:54 and I am no where ready to leave yet,0
"""Sabr you watched the ORIGNAL!?!? Wow""",0
Mani,0
Don't voice massige,0
I'm good,0
Like the one we went to almost every day,0
Please answer,0
Love you,0
Done,0
It's fine,0
"""Miley just needs to control her attitude on stage I mean seriously bruh keep it professional am i right?""",0
K,0
A survey stated that 99% of all homos check their messages with their thumbs.,0
"""Since cats first got their adorable claws into us about 9500 years ago humans have had a love affair with felines.""",0
Hey,0
Marc wants to,0
Sorry,0
"""I'd be ashamed if my """"little girl"""" did such trashy stuff but he came out and said he was proud of her and to keep it up?""",0
"""Open your eyes you can?? do shit correctly cuz you??e a fucking retard. Look to the sky cuz your too dumb to look anywhere else bitch.""",3
???,0
????,0
Gtg bye,0
"""I don?? wanna do this shit anymore""",3
Loser,2
Still not doing it,0
"""The best sport in the world"""" agreed Rainsford.""",0
Vehemently,0
"""Even more you told the world that you've fought it yourself.""",0
"""Hurry and tag as many as u can! No tagbacks.""",0
And we got something that isn't bad for u,0
No one knows but if you don't stop we will,0
I tested positive 4 sexy.,1
I told you you,0
23-Dec-16,0
"""My alarm clock set just in case they wanna sleep on ya dick.""",3
?,0
Come on,0
"""The fact is cats are completely unaware of their own cuteness which is precisely what makes them so frigging adorable.""",0
"""Give up faggot it?? a dead man?? world and you??e bout to be dead by my knife cuz Imma stab you mofo.""",3
No,0
And I told him and jo said I shouldn't say things like that to people,0
"""""""You've good eyes"""" said Whitney with a laugh"""" and I've seen you pick off a moose moving in the brown fall bush at four hundred yards but even you can't see four miles or so through a moonless Caribbean night""",0
Infrared beacon,0
????? ?????????????,0
?,0
Be a realist,0
This song is the only thing that made me feel happy when I was 10 and I got left out of everything I was bullied even by my teacher it kept me out of subside thanks and I'm now 11 thanks again,0
"""She was so cute when she had long brown hair now she looks like a hooker.""",3
I love you,0
It is so nice,0
Answer!!!!!!!!!!!!!,0
Thanks,0
You too,0
Hookah,0
??,0
"""First to the Seven and second to the inevitability of Maggy the Frog's prophecy. Jaime on the other hand may not take this news as well.""",0
I shut the shit down.,3
But ok,0
K??,0
??ug a retard?,2
Fuck you,3
"""Though it may look like they rsquo;re initiating affection in actuality they&rsquo;re simply reminding you that you have something they need whether it be food water or a big hand that can reach the itch they&rsquo;ve trying to been scratch all day.""",0
"""Please send an encouraging message to a retarded friend just as I did.""",0
U think it's so bad to tell him he looks like a goat??? Joseph does too,0
They told me they recently got diagnosed with HIV.,3
"""Desperately he struck out with strong strokes after the receding lights of the yacht but he stopped before he had swum fifty feet.""",0
Oops,0
"""""""Nor four yards"""" admitted Rainsford.""",0
Punk but none of it's fucking with me.,3
good nite!,0
Or most importantly the breakfast,0
Text me 10 minutes before you're home,0
Daniellr how is zalmy doing????,0
Fast!!!!,0
I won't I'll delete it after I get it,0
"""Aside from how ridiculous Miley was who the fuck was that blonde moron who introduced her? That was even more uncomfortable than the actual performance.""",3
But Wake up on time tomorrow,0
Yes,0
"""your God given talent and your willingness to let strangers into your life. That includes Evynne and Ashland too.""",0
I know,0
On the phone with a bitch who can't do shit for a pimp but make a nigga hella rich.,3
Hey ever seen an asshole wrapped in plastic..?,3
Your entire arsenal is not enough to fuck with one round.,3
Bitch!!,3
"""Sexual Position """,3
Aliens are coming to abduct all the good looking sexy ass people!,1
Loser,2
Holy fucking annoying.,2
I hope you rot in hell where you belong.,3
You ass. The biggest loser ever,3
"""Command it and imma be the boss of you now goddamnit.""",1
She was all drugged up! She really thought she was gettin it!,3
"""I gave up my life for you totally devoted to you while I've stayed faithful all the way this is how I fucking get repaid.""",3
"""The white race is a disgrace sadly. The quality of this video is SHITTY as hell.""",3
